Question,Option A,Option B,Option C,Correct Answer,Class
What is a computer?,A machine,A toy,A book,A,Year 1
Which device shows pictures?,Keyboard,Monitor,Mouse,B,Year 1
Which is used to click?,Screen,Speaker,Mouse,C,Year 1
Which is used to type?,Keyboard,Mouse,Printer,A,Year 1
Which device makes sound?,Monitor,Speaker,Mouse,B,Year 1
What is a computer used for?,Cooking,Swimming,Typing,C,Year 1
Which one is an input device?,Keyboard,Monitor,Speaker,A,Year 1
Which one is an output device?,Mouse,Monitor,Keyboard,B,Year 1
Which device prints?,Mouse,Keyboard,Printer,C,Year 1
Which device moves cursor?,Mouse,Speaker,Printer,A,Year 1

What is a network?,Connected computers,Game,Printer,A,Year 2
Which is safe online?,Share password,Keep info private,Click all links,B,Year 2
What is internet?,Food,Book,Global network,C,Year 2
What is email?,Message online,Game,Hardware,A,Year 2
What is a password?,Game,Secret code,Picture,B,Year 2
Which is input device?,Monitor,Speaker,Mouse,C,Year 2
Which is output device?,Printer,Keyboard,Mouse,A,Year 2
What should you not share?,Name,Password,Book,B,Year 2
What is typing?,Drawing,Running,Writing on keyboard,C,Year 2
Which is correct use of mouse?,Click,Throw,Hit,A,Year 2

What is hardware?,Physical parts,Software,Internet,A,Year 3
What is software?,Mouse,Programs,Keyboard,B,Year 3
What is safe searching?,Fast search,Random search,Careful search,C,Year 3
What is cyber etiquette?,Being polite online,Being rude,Ignoring others,A,Year 3
What is a browser?,Game,Internet tool,Device,B,Year 3
Which is storage device?,Mouse,Monitor,USB,C,Year 3
What is file?,Saved data,Game,Mouse,A,Year 3
What is folder?,Plays music,Stores files,Types text,B,Year 3
What is delete?,Add,Open,Remove,C,Year 3
What is save?,Store work,Delete work,Print work,A,Year 3

What is input device?,Enter data,Show data,Store data,A,Year 4
What is output device?,Enter data,Show result,Delete data,B,Year 4
What is CPU?,Mouse,Screen,Brain of computer,C,Year 4
What is memory?,Stores data,Deletes data,Prints data,A,Year 4
What is internet safety?,Playing games,Being safe online,Hacking,B,Year 4
What is website?,Keyboard,Mouse,Web page,C,Year 4
What is link?,Connects pages,Deletes pages,Prints pages,A,Year 4
What is download?,Delete data,Get data,Print data,B,Year 4
What is upload?,Delete data,View data,Send data,C,Year 4
What is virus?,Harmful program,Game,File,A,Year 4

What is spreadsheet?,Data table,Game,Picture,A,Year 5
What is cell?,Mouse,Box in sheet,File,B,Year 5
What is formula?,Game,Picture,Calculation rule,C,Year 5
What is chart?,Graph,Mouse,Keyboard,A,Year 5
What is database?,Game,Data collection,Picture,B,Year 5
What is search engine?,Game,Device,Find info tool,C,Year 5
What is cloud storage?,Online storage,Game,Device,A,Year 5
What is file extension?,Game,File type,Device,B,Year 5
What is shortcut?,Game,Delete,Quick access,C,Year 5
What is login?,Access account,Delete account,Print account,A,Year 5

What is algorithm?,Step instructions,Game,Picture,A,Year 6
What is programming?,Drawing,Writing code,Typing,B,Year 6
What is input?,Output shown,File saved,Data entered,C,Year 6
What is output?,Result shown,Input data,Delete file,A,Year 6
What is debugging?,Create errors,Fix errors,Delete code,B,Year 6
What is loop?,Stop steps,Delete steps,Repeat steps,C,Year 6
What is variable?,Store value,Delete value,Print value,A,Year 6
What is network?,Game,Connected devices,Printer,B,Year 6
What is cyber safety?,Game,Download,Safe online use,C,Year 6
What is data?,Information,Game,Mouse,A,Year 6